8/4/2025,July 1,July 2,July 3,July 4,July 5,July 6,July 7,July 8,July 9,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,,TOTAL,,,,
CPL,$0.90,$0.93,$0.94,$1.03,$1.31,$1.11,$1.06,$1.13,$1.21,$1.05,$1.28,$1.35,$1.36,$1.30,$1.40,$1.28,$1.17,$1.28,$1.37,$1.34,$1.14,$1.16,$1.19,$1.27,$1.14,$1.26,$1.25,$1.15,$1.21,$1.24,$1.20,,$1.19,,,,
CPKYC,$2.14,$2.00,$1.90,$2.54,$3.03,$2.70,$2.54,$3.46,$2.42,$2.56,$2.95,$3.51,$3.23,$2.93,$2.86,$3.25,$2.60,$3.44,$3.00,$3.35,$3.00,$3.11,$2.97,$3.17,$2.93,$3.50,$3.34,$3.19,$3.11,$3.27,$3.31,,$2.91,,,,
Installs/SignUp,98%,93%,100%,101%,83%,97%,96%,98%,89%,87%,85%,86%,97%,92%,86%,92%,91%,95%,85%,91%,98%,94%,89%,86%,91%,85%,82%,94%,96%,88%,91%,,91%,,,,
Sign Up/KYC completed,42%,47%,50%,41%,43%,41%,42%,33%,50%,41%,43%,38%,42%,44%,49%,39%,45%,37%,46%,40%,38%,37%,40%,40%,39%,36%,37%,36%,39%,38%,36%,,41%,2430.08,,,
KYC/First Disb.,31%,41%,37%,37%,30%,33%,32%,32%,29%,28%,31%,27%,29%,32%,27%,37%,32%,54%,38%,41%,45%,38%,37%,39%,30%,28%,38%,29%,29%,40%,34%,,34%,,,,
FS/First Disb.,125%,179%,166%,166%,112%,140%,128%,163%,126%,100%,125%,132%,103%,103%,106%,122%,123%,142%,112%,122%,119%,101%,96%,98%,86%,110%,110%,89%,73%,114%,93%,,116%,,,,
New install/ First dis,13%,18%,18%,15%,11%,13%,13%,10%,13%,10%,12%,9%,12%,13%,11%,13%,13%,19%,15%,15%,17%,13%,13%,13%,11%,8%,12%,10%,11%,13%,11%,,13%,,,,
SignUp/First dis.,13%,19%,19%,15%,13%,14%,13%,11%,14%,11%,14%,10%,12%,14%,13%,14%,14%,20%,17%,16%,17%,14%,15%,16%,12%,10%,14%,11%,11%,15%,12%,,14%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$2,593",,,
Google,$417,$454,$307,$376,$360,$340,$349,$398,$418,$442,$445,$448,$432,$353,$428,$484,$404,$388,$411,$464,$504,$567,$520,$516,$513,$465,$481,$499,$466,$461,$458,,"$13,568","$83,625",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,80788,,,
Facebook,$61,$65,$62,$59,$58,$80,$78,$82,$66,$61,$86,$66,$67,$146,$173,$133,$125,$130,$137,$129,$160,$158,$108,$72,$70,$68,$80,$80,$86,$86,$97,,"$2,929","$2,837",,,
LinkedIn Ads,$0,$0,$23,$38,$32,$26,$35,$34,$65,$67,$104,$107,$88,$61,$55,$54,$56,$53,$40,$30,$55,$59,$53,$54,$55,$40,$31,$62,$61,$60,$48,,"$1,546",,,,
AT UG Blast,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,,$387,,,,
Remarketing SMS,$0,$10,$0,$20,$0,$14,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$75,$72,$0,$0,$0,$0,$0,$83,$0,$0,$56,,$329,,,,
Marketing - Brand,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,,"$3,331",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social media awarness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Referral/unapplied leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,601,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
googleadwords_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnext_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
