9/5/2025,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,,TOTAL,,,,
First Disb. Biz Migrated New Partners,1,1,0,0,1,1,4,1,0,0,0,1,1,2,2,1,0,0,1,1,2,0,0,0,3,3,2,4,1,1,0,,34,,,,
First Disb. FidoBiz Migrated Old,55,24,26,49,30,46,24,31,25,11,33,26,30,26,43,20,8,34,25,27,28,33,44,29,62,74,82,67,79,63,45,,"1,199",Projection Budget VS Monthly Budget,,,
First Disb. Biz Migrated Old Partners,1,1,1,2,2,1,2,0,2,0,0,1,1,1,0,0,0,1,2,3,0,0,1,0,1,8,14,9,5,8,2,,69,"$102,851","$109,031",,
First Disbursement All New,642,586,514,788,799,683,738,974,803,673,"1,041","1,013","1,335","1,136","1,140",973,622,"1,044","1,309","1,280",925,977,"1,115",729,"1,039",968,984,891,885,814,700,,"28,120",,,,
Cost Growth,"$2,783","$2,902","$2,718","$3,069","$3,133","$3,204","$3,312","$3,440","$3,181","$3,188","$3,327","$3,404","$3,495","$3,373","$3,430","$3,380","$3,266","$3,423","$3,326","$3,207","$3,361","$3,241","$3,227","$3,075","$3,589","$3,257","$3,185","$3,231","$2,990","$3,085","$2,966",,"$99,768",,,,
Cost Marketing ,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,,"$16,355",,,,
CAC,$5.16,$5.85,$6.31,$4.56,$4.58,$5.46,$5.20,$4.07,$4.62,$5.52,$3.70,$3.88,$3.01,$3.43,$3.47,$4.02,$6.10,$3.78,$2.94,$2.92,$4.20,$3.86,$3.37,$4.94,$3.96,$3.91,$3.77,$4.22,$3.97,$4.44,$4.99,,$4.13,,,,
CPI,$1.09,$1.24,$1.21,$1.03,$1.11,$1.17,$1.17,$1.02,$1.10,$1.34,$0.78,$1.03,$0.73,$0.93,$0.96,$1.08,$1.16,$0.76,$0.97,$0.83,$1.01,$1.00,$1.07,$1.21,$0.98,$1.06,$0.89,$0.91,$0.95,$1.13,$1.13,,$1.01,,,,
CPL,$1.25,$1.45,$1.51,$1.21,$1.26,$1.41,$1.39,$1.23,$1.35,$1.51,$0.92,$1.22,$0.83,$1.06,$1.15,$1.28,$1.48,$0.96,$1.17,$0.96,$1.17,$1.18,$1.24,$1.43,$1.12,$1.19,$1.03,$1.13,$1.10,$1.30,$1.35,,$1.19,,,,
CPKYC,$2.16,$2.87,$2.82,$2.28,$1.95,$2.30,$2.41,$2.20,$2.60,$3.11,$1.73,$1.91,$1.53,$1.84,$1.99,$2.36,$2.70,$1.82,$1.91,$1.63,$1.90,$2.12,$2.63,$2.94,$2.28,$2.33,$1.84,$2.00,$1.94,$2.46,$2.72,,$2.15,,,,
Installs/SignUp,87%,86%,80%,85%,88%,83%,84%,83%,82%,89%,84%,85%,87%,88%,84%,84%,78%,79%,83%,86%,86%,85%,86%,85%,88%,89%,87%,81%,87%,87%,84%,,85%,,,,
Sign Up/KYC completed,58%,50%,53%,53%,64%,61%,58%,56%,52%,48%,53%,64%,55%,57%,58%,54%,55%,53%,61%,59%,62%,56%,47%,49%,49%,51%,56%,56%,57%,53%,50%,,55%,,,,
KYC/First Disb.,42%,49%,45%,50%,43%,42%,46%,54%,56%,56%,47%,49%,51%,54%,57%,59%,44%,48%,65%,56%,45%,55%,78%,60%,57%,60%,49%,47%,49%,55%,55%,,52%,,,,
FS/First Disb.,95%,103%,100%,99%,100%,102%,116%,111%,111%,112%,95%,106%,102%,105%,109%,106%,78%,78%,128%,105%,94%,108%,137%,120%,108%,110%,99%,97%,105%,110%,104%,,104%,,,,
Survey/Docs (Biz),124%,83%,107%,113%,80%,103%,90%,85%,85%,78%,79%,105%,82%,94%,87%,102%,105%,88%,86%,87%,117%,103%,98%,100%,94%,87%,97%,96%,90%,86%,104%,,94%,,,,
New install/ First dis,21%,21%,19%,23%,24%,21%,22%,25%,24%,24%,21%,27%,24%,27%,28%,27%,19%,20%,33%,28%,24%,26%,32%,25%,25%,27%,24%,22%,24%,26%,23%,,24%,,,,
SignUp/First dis.,24%,25%,24%,27%,27%,26%,27%,30%,29%,27%,25%,31%,28%,31%,33%,32%,24%,25%,40%,33%,28%,31%,37%,29%,28%,31%,27%,27%,28%,29%,27%,,29%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,16.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,011","$2,067","$1,980","$2,045","$2,142","$2,217","$2,368","$2,501","$2,276","$2,297","$2,303","$2,250","$2,231","$2,232","$2,272","$2,254","$2,204","$2,228","$2,223","$2,174","$2,172","$2,156","$2,139","$2,149","$2,434","$2,034","$2,004","$2,018","$1,959","$1,936","$1,915",,"$67,191",,"$80,758.72",,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Facebook,$308,$325,$352,$417,$428,$372,$368,$393,$414,$434,$445,$590,$673,$606,$566,$594,$627,$620,$610,$570,$566,$497,$542,$568,$550,$611,$560,$549,$533,$603,$603,,"$15,893",,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
Apple Search Ads,$103,$107,$97,$110,$110,$84,$100,$92,$95,$91,$104,$88,$93,$93,$91,$91,$91,$97,$99,$8,$0,$126,$101,$98,$104,$103,$100,$104,$98,$101,$97,,"$2,876",,,,
LinkedIn Ads,$27,$44,$38,$39,$49,$50,$15,$14,$57,$37,$34,$26,$23,$9,$21,$25,$7,$0,$0,$27,$23,$18,$15,$12,$17,$18,$17,$17,$16,$11,$18,,$724,,,,
Incremental Ads,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,$21,,$653,,,,
Remarketing SMS,$84,$110,$2,$128,$90,$168,$90,$74,$1,$0,$123,$123,$123,$120,$190,$115,$89,$229,$145,$179,$292,$120,$117,$0,$194,$191,$199,$229,$70,$117,$0,,"$3,713",,,,
Unapplied Leads,$0,$0,$0,$82,$65,$64,$121,$118,$89,$81,$69,$78,$103,$64,$42,$52,$0,$0,$0,$0,$60,$74,$63,$0,$41,$51,$57,$65,$65,$67,$83,,"$1,657",,,,
CleverTap SMS Africa Talking,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,
CleverTap MJ Infobip,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,$4,,$138,,,,
Kochava,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,$30,,$917,,,,
MTN,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,$15,,$458,,,,
Africa Talking,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,$42,,"$1,306",,,,
MTN Blast SMS,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,$110,,"$3,423",,,,
Referal payments,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,$26,,$820,"99,768",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeing - Brand Monthly budget,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,$528,,"$16,355",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,$0.00,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"16,355",$0.00,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer - Delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Field Agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Ambassadors + Referrals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social Campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production and Content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
FIdoBiz Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Ads,,"$67,191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter-Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,,"$15,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppNext - Android,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,$458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,"$1,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTN SMS,,"$3,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,"$3,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unapplied_Leads,,"$1,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleverTap MJ,,$138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delay,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuame Eugene,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambassadors + Referrals,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Campaigns,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Agents,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,$0.00,"$93,779.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
