9/5/2025,August 1,August 2,August 3,August 4,August 5,August 6,August 7,August 8,August 9,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,,TOTAL,,,,
CPKYC,$3.24,$2.94,$3.02,$3.45,$2.79,$2.85,$2.85,$2.36,$2.53,$2.71,$2.64,$2.51,$2.48,$2.60,$2.51,$2.64,$2.66,$2.31,$2.44,$2.58,$1.97,$2.71,$1.23,$3.16,$2.57,$2.54,$2.92,$3.31,$2.75,$3.71,$3.40,,$2.69,,,,
Installs/SignUp,84%,91%,88%,87%,86%,82%,84%,92%,90%,88%,98%,86%,95%,88%,91%,90%,81%,90%,91%,87%,98%,90%,93%,89%,91%,91%,93%,76%,89%,77%,94%,,89%,,,,
Sign Up/KYC completed,38%,40%,39%,36%,39%,39%,38%,41%,38%,37%,36%,41%,41%,36%,37%,38%,40%,38%,38%,40%,39%,42%,37%,36%,42%,40%,38%,41%,37%,34%,38%,,38%,,,,
KYC/First Disb.,35%,30%,23%,40%,34%,33%,30%,33%,30%,25%,34%,28%,19%,27%,24%,24%,24%,21%,44%,35%,34%,39%,36%,30%,32%,35%,30%,36%,25%,26%,31%,,31%,,,,
FS/First Disb.,99%,96%,80%,100%,104%,110%,95%,111%,114%,109%,102%,106%,75%,98%,98%,96%,76%,64%,121%,104%,94%,128%,106%,105%,114%,122%,103%,110%,106%,98%,129%,,102%,,,,
New install/ First dis,11%,11%,8%,12%,11%,10%,9%,12%,10%,8%,12%,10%,7%,9%,8%,8%,8%,7%,15%,12%,13%,15%,13%,10%,13%,13%,11%,11%,8%,7%,11%,,10%,,,,
SignUp/First dis.,13%,12%,9%,14%,13%,13%,11%,13%,11%,9%,12%,11%,8%,10%,9%,9%,10%,8%,17%,14%,13%,16%,13%,11%,14%,14%,11%,15%,9%,9%,12%,,12%,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate UGXUSD: ,"3,665.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,$504,$507,$512,$539,$494,$496,$526,$464,$480,$464,$482,$462,$455,$455,$440,$431,$431,$451,$483,$435,$438,$455,$44,$457,$471,$451,$459,$489,$465,$476,$447,,"$14,163","$81,239",,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,"81,353.72",,,
Facebook,$87,$86,$89,$85,$65,$52,$50,$53,$51,$54,$56,$52,$50,$53,$54,$50,$53,$52,$22,$107,$116,$103,$89,$86,$78,$59,$51,$46,$27,$55,$58,,"$1,989",114.72,,,
LinkedIn Ads,$48,$37,$26,$39,$36,$28,$37,$30,$24,$13,$38,$39,$31,$35,$25,$24,$16,$0,$0,$44,$45,$44,$44,$32,$36,$35,$35,$34,$31,$25,$21,,$952,,,,
AT UG Blast,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,$12,,$387,,,,
Remarketing SMS,$0,$0,$0,$0,$0,$0,$93,$0,$0,$0,$61,$0,$0,$0,$0,$0,$0,$0,$0,$0,$47,$0,$0,$0,$0,$0,$42,$22,$0,$0,$48,,$313,,,,
Marketing - Brand,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,$107,,"$3,331",,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Influencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Video Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Social media awarness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Referral/unapplied leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarketing Cost 
(Alon Budget)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost FidoBiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google - Business agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,601,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
googleadwords_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appnext_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarketing SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO MTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNO AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
